track,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,chorus_hit,target
Don't Make Me,Blake Shelton,spotify:track:00rrluZUPNbfTSWvodUZbV,0.513,0.546,-5.703,0.0282,0.0181,0,0.122,0.245,246560,34.70648,1
Lookin Boy,Hot Stylz Featuring Yung Joc,spotify:track:00RYiT3a2lNQ1wTKBQXWSw,0.85,0.687,-5.995,,0.213,0,0.0724,0.502,207013,42.35354,1
Got That Swing - Original Mix,Crazy Daylight,spotify:track:00xedL8WtTPawd35w1D5EY,0.792,0.764,-5.748,,0.0956,0.00446,0.0515,0.601,225513,29.73965,0
Rock My Life - Remastered,Jeanette Biedermann,spotify:track:00zEqAYKOqXd9CKjjScB4u,0.61,0.887,-3.53,,0.00715,0.00134,0.453,0.82,234519,24.60764,0
When It Hurts,Avant,spotify:track:00zqTWtvCWvDtAqoLRl6Sy,0.682,0.646,-5.509,0.0839,0.376,0,0.0705,0.253,236213,44.25991,1
Falling,Julee Cruise,spotify:track:010qM4mBmvo058zCdurmUb,0.192,0.138,-17.135,,0.892,0.553,,0.0757,321853,60.94077,0
She Won't Be Lonely Long,Clay Walker,spotify:track:0158TMiGmHyibaDeaUKayX,0.635,0.758,-5.772,0.0243,0.00643,0,,0.322,209253,39.82993,1
Boyfriend,Justin Bieber,spotify:track:0171XsIM2xyeXRr6wsugEI,0.717,0.55,-6.019,0.0521,0.0358,0.00196,,0.332,171333,40.30242,1
Imitation Of The Blues,Larry Sparks,spotify:track:0197MM7KafA2j9cC425mdd,0.605,0.252,-12.482,,0.802,0.0455,,0.413,179480,28.94554,0
River Flows In You,Yiruma,spotify:track:01A0t6M1jaUkaBlTvrHtro,0.318,0.207,-21.487,0.051,0.988,0.948,0.0881,0.11,188800,30.9281,0
Do Somethin',Britney Spears,spotify:track:01ACsk2knUnsfWeZp63nqa,0.845,0.935,-3.262,0.0671,0.0278,3.59E-05,,0.962,204493,26.02743,1
Emotion,Destiny's Child,spotify:track:01Aj44KIjCrPmZeXq4UOky,0.412,0.577,-4.944,0.119,0.163,0,,0.345,236400,22.96028,1
Never Let You Go,Justin Bieber,spotify:track:01BlGnXpLuC0BjgUxVYZFb,0.662,0.811,-4.852,,0.00136,1.23E-06,0.251,0.674,264400,19.51632,1
This One's For The Girls,Martina McBride,spotify:track:01CnYyPXMFRzOFVQBU8WMb,0.613,0.801,-4.431,,0.0626,1.15E-05,0.124,0.609,243160,31.22151,1
I Hold On,Dierks Bentley,spotify:track:01e8dGbulrphX8j3fZDQYk,0.614,0.715,-6.451,,0.0849,0.000316,0.102,0.231,279533,23.8841,1
Jack Metal - Demo,Pray TV,spotify:track:01HZ7dCfZeBq1TO6Y3xhJk,0.124,0.935,-7.686,,0.00102,0.00123,,0.401,188372,18.25149,0
Lump Sum,Eau Claire Memorial Jazz I,spotify:track:01iH3JPmssBG2T1EEvy9sc,0.326,0.422,-15.205,0.0474,0.904,0.766,0.686,0.265,401720,53.40196,0
Punk Rock Ambulance,GBH,spotify:track:01jSNqdrLnWYdX64jASWyb,0.474,0.994,-4.954,0.0801,0.00669,0.45,0.137,0.433,194093,56.34708,0
Mi Último Deseo,Banda Los Recoditos,spotify:track:01ksPzu3Bw8Lsf9o6xIk8C,0.844,0.639,-4.461,,0.62,0,,0.974,163560,54.26862,0
I Want To Live,Josh Gracin,spotify:track:01LgFdcK1vtxStxkTP4Lej,0.493,0.679,-4.438,0.0337,0.227,0,0.32,0.448,238893,39.40361,1
Holla At Me,"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",spotify:track:01LoAhsalyPn0jT8IGn45w,0.463,0.749,-5.817,0.421,0.00158,0,,0.551,268069,63.7254,1
E-Pro,Beck,spotify:track:01MBhRpvFkbeRwAp7gcF2W,0.624,0.959,-6.253,0.0769,0.00133,0.171,,0.69,202360,41.09443,1
Waiting For Superman,Daughtry,spotify:track:01mWFDRL40UlnbOXya5gqm,0.558,0.667,-6.041,,0.00276,0,0.0641,0.402,267333,23.44828,1
Miss September,Greensky Bluegrass,spotify:track:01NRpu9CeEx4DqiDjG20PA,0.612,0.649,-7.101,,0.55,0.000862,,0.613,240719,45.38373,0
"English Suite No. 2 in A Minor, BWV 807: III. Courante",Johann Sebastian Bach,spotify:track:01QHFCeCuUz7Kge0vnXzty,0.395,0.269,-18.489,0.0365,0.993,0.878,0.0998,0.834,102480,47.1168,0
Evolutionistically Yours,Józef Gatysik,spotify:track:01T3AjynqSMVfiAQCAfrKJ,0.322,0.0121,-31.994,,0.993,0.927,,0.118,160897,37.14907,0
Numb,XXXTENTACION,spotify:track:01TnVDiet1DFTsyWKUKovl,0.414,0.416,-8.024,0.0251,0.1,0.179,,0.196,186268,24.74891,1
#thatPOWER,will.i.am Featuring Justin Bieber,spotify:track:01TuObJVd7owWchVRuQbQw,0.797,0.608,-6.096,,0.00112,7.66E-05,0.0748,0.403,279507,29.91553,1
I'm a Metal Head (Reprise),Apokalyptic Raids,spotify:track:01WpWVOHUCe7yICDPHwesF,0.266,0.949,-8.649,0.0531,0.000103,0.121,0.0739,0.232,65000,32.90386,0
Ayla (ASOT 840) [Trending Track] - Ben Nicky & Luke Bond Remix,Ayla,spotify:track:01x0guAx4CrCbmREr1Qzgs,0.596,0.886,-10.159,0.0325,0.0152,0.468,0.615,0.402,213328,32.225,0
Pop Porn Doll,celluloid mata,spotify:track:01Y8iMpFxpjwAh4bOnRwxm,0.535,0.942,-9.162,0.0517,0.328,0.606,0.215,0.663,240600,104.16088,0
Crying On A Suitcase,Casey James,spotify:track:020b0QxseQbcMTPKV49qRm,0.402,0.7,-4.613,,0.147,0,0.0992,0.496,221387,37.25696,1
No Hurry,Zac Brown Band,spotify:track:020ffiIfWvx5EH9VJ8Dkg2,0.564,0.531,-5.809,0.0287,0.376,0,0.312,0.407,226227,47.9962,1
Leather And Metal,Cruel Force,spotify:track:021HX1LUHVepJZhtAUYHnZ,0.282,0.997,-4.833,0.0774,3.30E-06,0.664,,0.615,166427,37.82098,0
Varnam- Ranjani - adi G.N.Balasubrmanian,Sudha Ragunathan,spotify:track:0238tZ00xEldEzS4RNH3Vn,0.499,0.552,-14.109,0.0566,0.946,0.932,,0.961,223293,91.05651,0
Norman,Steven Price,spotify:track:027EHYg4QyKzJsl7XyaUH9,0.293,0.47,-16.454,,0.0584,0.877,0.143,0.0757,170845,42.4955,0
Ever The Same,Rob Thomas,spotify:track:02acUMylPHMjJ9miDc9b38,0.435,0.729,-4.818,0.0307,0.0152,2.63E-05,0.11,0.524,256600,41.42314,1
Notorious,Synapscape,spotify:track:02GE1dMiy7QkuvmIwOZVYa,0.44,0.9,-6.251,,0.00097,0.976,0.948,0.0946,282240,64.37998,0
Guds Fortapelse - Apenbaring Av Dommedag,Urgehal,spotify:track:02gjq46zkypseCglLdQsw2,0.155,0.936,-6.239,0.0777,1.43E-06,0.151,0.232,0.111,277000,22.26619,0
Raise Up,Petey Pablo,spotify:track:02GwPAncasVL82yC7y2hmN,0.735,0.844,-5.215,,0.142,0,0.319,0.742,286427,38.12731,1
Get The Party Started,P!nk,spotify:track:02jcEwywffn3Tsb48fXmlW,0.802,0.904,-3.267,0.0459,0.00108,0,0.173,0.961,192533,72.87538,1
New Year's Eve,Adrenalin O.D.,spotify:track:02OuEcf1RUz5erNBf7rJOI,0.219,0.759,-9.012,0.0554,0.00166,0.393,,0.376,87373,21.7607,0
Beats That,Damma Beatz,spotify:track:02PsAuDOg0oN1CFDl8nujf,0.733,0.562,-9.647,0.0763,0.606,0.934,,0.34,168000,65.05178,0
Spotlight,Jennifer Hudson,spotify:track:02QQXgeAghpU4smdM7l7We,0.707,0.724,-3.887,0.051,0.0448,0,,0.659,250107,61.48974,1
"Quintet in A Major, D. 667, ""The Trout"": II. Andante",Franz Schubert,spotify:track:02qYj9JhJs1to4puwlW9y8,0.266,0.0574,-29.066,,0.966,0.728,0.137,0.275,422033,27.24274,0
Feelin (feat. Spinn & Taso),DJ Rashad,spotify:track:02RjeZNfU1hEicU6sZVT4J,0.374,0.836,-7.503,,0.000115,0.737,,0.0937,270815,19.51185,0
I Melt,Rascal Flatts,spotify:track:02UnamzTn2rySwzcMkq5qx,0.573,0.662,-4.461,0.0265,0.209,3.92E-05,0.323,0.256,234253,42.53444,1
Hit That Jive,Gramatik,spotify:track:02uRToy7bttYcKCO3vIStA,0.896,0.684,-6.099,0.0731,0.0461,0.051,,0.686,203051,38.6688,0
Wavin' Flag,K'Naan,spotify:track:02WDuAXXKumemrvsmrVBvH,0.584,0.768,-4.185,,0.329,0,0.0587,0.729,212867,21.28678,1
Gristle Licker,Cattle Decapitation,spotify:track:02wl7iFYLiTUcE8DVk72OQ,0.231,0.991,-4.075,,3.81E-05,0.488,0.779,0.299,294347,34.52733,0
Hey Yo Check It Out - Slowpop Mix,Slowpop,spotify:track:02xbWEPK1AdgXztIiDZuPJ,0.843,0.795,-6.592,0.102,0.00304,0.0325,0.0731,0.066,372414,91.82664,0
Morseton 2.0 (Elektro Pop Cut),Heiko & Maiko,spotify:track:02yLzMazdCqRGUDcW1cbxC,0.924,0.629,-6.753,,0.00401,0.805,0.0484,0.543,202284,34.72338,0
Hey Daddy (Daddy's Home),Usher Featuring Plies,spotify:track:030OCtLMrljNhp8OWHBWW3,0.59,0.698,-4.262,0.0286,0.000176,0,,0.352,224093,60.38468,1
Hon ska bli min,Casanovas,spotify:track:034f2qkphFRyX7MmBzC6fr,0.507,0.977,-2.765,,0.0127,0,,0.849,172320,60.68875,0
Chloe (You're The One I Want),Emblem3,spotify:track:036GQb6SETOJJG8BxJTNxc,0.71,0.925,-3.329,0.0359,0.039,0,0.127,0.93,222987,32.96246,1
Jack The Ripper,The Horrors,spotify:track:036xR1iWc38PTkNtjb3U5L,0.157,0.922,-6.494,0.086,2.99E-06,0.575,0.273,0.163,179813,52.05347,0
Kiss This,Aaron Tippin,spotify:track:038jgLNIvp7QQNf5vILf5d,0.765,0.706,-5.477,,0.047,4.25E-06,,0.669,173760,18.74487,1
Go Getta,Young Jeezy Featuring R. Kelly,spotify:track:03b1NUHnoavfpLLKcEMfIb,0.397,0.74,-6.584,,0.105,0,0.15,0.431,229347,19.29173,1
Don't Box Me In (feat. 80s Babies),Tall Black Guy,spotify:track:03fxvVDL6djHk6atlpoQ0e,0.711,0.751,-6.52,0.388,0.139,0,0.508,0.378,297707,21.8768,0
Days,FLOW,spotify:track:03gGNOQZw11sEteNLZblQV,0.594,0.853,-3.361,0.0393,0.00221,0,0.0718,0.914,253400,20.35816,0
Pacific Theme,Broken Social Scene,spotify:track:03gKdAQAswBo7v4p8F1An4,0.723,0.703,-9.495,,0.0272,0.313,0.0979,0.767,309187,29.21933,0
Steine Sind Steine,And One,spotify:track:03hqY0WW5PGHjsgxXBAuww,0.635,0.752,-6.906,0.0385,0.0391,0.921,0.0614,0.961,238413,68.72572,0
Rockin' Back Inside My Heart,Julee Cruise,spotify:track:03jJQEDA95P6isVwAM0kIH,0.621,0.223,-17.397,,0.591,0.00212,,0.314,349067,55.32422,0
Breathe In,Frou Frou,spotify:track:03kZca43rgVgphYctcopJU,0.75,0.722,-7.032,,0.277,0.00213,0.0627,0.759,277333,20.00637,0
U With Me?,Drake,spotify:track:03L2AoiRbWhvt7BDMx1jUB,0.429,0.43,-11.373,0.165,0.337,1.18E-05,,0.125,297373,76.51807,1
A Narnia Lullaby,Harry Gregson-Williams,spotify:track:03pWkKJjo8ATe0z4SWGzyd,0.231,0.174,-16.718,,0.958,0.843,0.234,0.0322,72880,50.33134,0
"I'll Forgive You For Throwing That Rock, Cos That Dance Was Kinda Funny",TTNG,spotify:track:03R6JBjwjmzjYXzsbJdulv,0.385,0.388,-11.672,0.0294,0.387,0.00503,0.0983,0.324,183200,41.99688,0
To All The Girls I Fuck Before,Armando Palomas,spotify:track:03So6Jtu5OFqnTUr3YuOf2,0.516,0.416,-10.222,,0.66,0,0.157,0.946,187787,45.64159,0
Without Love,Myke Forte,spotify:track:03SPCEYx0jaileoijHEYaV,0.618,0.583,-8.53,0.144,0.0747,0.857,,0.511,138307,46.57138,0
The Wicked Sun,Vices I Admire,spotify:track:03U84yM4DCDNAxrymHzK4V,0.503,0.709,-5.53,0.0608,0.00466,0.000206,0.0658,0.575,231360,22.47198,0
Apologies Are For The Weak,Miss May I,spotify:track:03UoekUgoEuKeCZ2AxY89T,0.521,0.989,-2.645,0.156,8.30E-05,0,0.208,0.15,192293,26.25462,0
One In A Million,Ne-Yo,spotify:track:03ZtlmARAMWhAgZSIs6Fes,0.763,0.794,-6.078,0.0364,0.122,2.86E-06,0.327,0.65,243227,36.80657,1
Shadowland,Kreator,spotify:track:041tDhxSgUmTMDLxfKHtCu,0.47,0.961,-6.819,0.0726,7.50E-06,0.0312,0.262,0.0909,267773,29.91808,0
Young Girl,Black Metal Raccoons,spotify:track:0462cDlKhjjeKkdZ9JqLoj,0.298,0.855,-6.638,0.0465,1.08E-06,0.904,,0.322,214413,16.13843,0
I Need You,LeAnn Rimes,spotify:track:046MBhhgQJJghnbgZCkaAR,0.478,0.736,-7.124,,0.02,9.58E-05,0.118,0.564,229827,30.74128,1
Hamartia,Novembers Doom,spotify:track:046s3UXSoeJdR2G2x6hoz8,0.391,0.292,-15.664,0.0305,0.789,0.000255,,0.109,215760,36.33083,0
Marvins Room,Drake,spotify:track:047fCsbO4NdmwCBn8pcUXl,0.492,0.26,-17.341,,0.646,0.00178,0.0705,0.312,347227,28.64767,1
Take Care,Drake Featuring Rihanna,spotify:track:047fCsbO4NdmwCBn8pcUXl,0.492,0.26,-17.341,,0.646,0.00178,0.0705,0.312,347227,28.64767,1
Roll With Me,Montgomery Gentry,spotify:track:048fAgdSLnAbQZG1ePSUKb,0.552,0.648,-6.71,,0.0533,0.00015,0.144,0.407,233933,39.96309,1
No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",spotify:track:04a1HkNH7LFsG5mEiLN7vl,0.703,0.681,-6.356,,0.00589,0,0.449,0.245,308333,28.41573,1
Centuries,Fall Out Boy,spotify:track:04aAxqtGp5pv12UXAg4pkq,0.394,0.858,-2.868,,0.00359,0,0.102,0.56,228360,39.81447,1
Don't Happen Twice,Kenny Chesney,spotify:track:04ccQGJ1i8gL7JoeCPiJbv,0.499,0.708,-7.029,0.0301,0.00626,1.15E-05,,0.617,203067,18.23946,1
Halo / Walking On Sunshine,Glee Cast,spotify:track:04gTvkivzArTTMG6ykrwep,0.242,0.91,-5.19,0.113,0.0679,3.38E-06,0.137,0.253,125013,33.99884,1
The 11th Commandment,Bethlehem,spotify:track:04IhVL4yU3f4llpjGZgQiM,0.254,0.755,-9.937,0.0435,,0.824,,0.0526,311373,75.51759,0
Hot In Herre,Nelly,spotify:track:04KTF78FFg8sOHC1BADqbY,0.956,0.745,-4.753,0.12,0.206,0,0.0615,0.912,228240,28.44537,1
Rule of Nines,Spiritbox,spotify:track:04KWu4S4jq6aqGTGoeysI9,0.268,0.948,-5.859,0.136,1.40E-05,0.0783,0.28,0.262,211154,37.34579,0
No Stylist,French Montana Featuring Drake,spotify:track:04MLEeAMuV9IlHEsD8vF6A,0.765,0.704,-4.589,0.127,0.0215,0,0.227,0.498,192172,26.96421,1
Vitamin R (Leading Us Along),Chevelle,spotify:track:04NGX0b5Tgs7VsErfn5OA1,0.481,0.88,-4.55,0.0717,0.00465,6.02E-05,,0.289,223173,38.5458,1
Despacito (Metal Version),Leo,spotify:track:04pWdQkbzwZKzZEvIzkGhx,0.633,0.951,-4.334,0.0574,0.0114,0,,0.555,281920,38.97454,0
"Cello Suite No. 1 in G Major, BWV 1007: V. Menuet I-II",Johann Sebastian Bach,spotify:track:04QYN6m8jAxNhUBb2sQa4U,0.539,0.0227,-31.087,,0.96,0.896,0.118,0.626,184787,56.60254,0
Mayberry,Rascal Flatts,spotify:track:04rZkq3ihHmGNfKPgBiTX1,0.635,0.852,-4.243,0.0375,0.302,0,0.149,0.351,272987,55.66777,1
I'm A Mess,Bebe Rexha,spotify:track:04ZTP5KsCypmtCmQg5tH9R,0.63,0.694,-6.257,,0.00281,0,,0.216,195519,44.56937,1
Wild Child,Kenny Chesney With Grace Potter,spotify:track:050iNgNKEUrJboOnH4Jhm6,0.586,0.633,-7.688,,0.475,4.29E-06,0.164,0.445,189800,39.25637,1
Used To Love U,John Legend,spotify:track:051NZ3rr3HXTULCEySJRX3,0.661,0.796,-4.776,0.0833,0.0347,0,,0.657,210867,25.31054,1
Playground Love,Air,spotify:track:052z2UsE2wPrHsBJ9tly0g,0.33,0.423,-10.504,,0.265,0.731,0.347,0.117,211500,33.21507,0
WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,spotify:track:057sdYirt745dVbe48m7Hl,0.772,0.812,-3.995,,0.0834,0,0.115,0.655,128769,51.24843,1
Members Only,Veil Of Maya,spotify:track:05ArV4Uua4VQAjd0dHkFLy,0.537,0.989,-1.788,0.0642,1.02E-05,0.00472,0.384,0.471,237466,71.18896,0
Mass of Lords,Jon Kennedy,spotify:track:05bg2rg77FfmpHdSfmo9SB,0.625,0.944,-10.45,,0.000268,0.368,0.142,0.637,217267,44.93304,0
Heartbeat,Carrie Underwood,spotify:track:05BgC2247XGi8ySwBzOO0o,0.54,0.766,-4.478,,0.606,0,,0.435,209920,40.00983,1
Merciless Onslaught,Metal Church,spotify:track:05g88rY76FUxXlTMmCEk8V,0.279,0.966,-14.235,0.0568,0.000546,0.783,0.0694,0.141,176000,40.88873,0
Meditatum III,Urfaust,spotify:track:05geXyB9KELiNG97MVlWet,0.165,0.468,-8.44,,5.83E-05,0.967,0.38,0.0379,421147,46.92128,0
Hearts and Thunder,Marshall Law,spotify:track:05HzkkHNJZFlCgQJs0zTlp,0.303,0.717,-16.562,,5.22E-06,0.0395,0.344,0.277,245493,34.07824,0
When I Think About Cheatin',Gretchen Wilson,spotify:track:05jSCFSAfFqhrk3UiEvTDX,0.495,0.387,-7.531,0.0256,0.617,4.40E-06,0.342,0.291,249227,60.70542,1
Spirit Child,Willie Thrasher,spotify:track:05jyJ51W6BlMZ9YPt1EgW7,0.372,0.692,-7.692,0.0287,0.819,0.0044,0.12,0.848,244027,47.23067,0
Free Smoke,Drake,spotify:track:05KOgYg8PGeJyyWBPi5ja8,0.736,0.491,-6.892,0.439,0.0681,0,0.571,0.203,218674,45.89081,1
Walking,Mary Mary,spotify:track:05kpDKj3MNFtZOlKkfurGG,0.759,0.546,-6.071,0.115,0.13,0.000194,0.192,0.584,200187,48.9874,1
Saint-Tropez,Post Malone,spotify:track:05mDaV9Vb3wrzjF6OPZnhq,0.617,0.684,-3.618,0.0439,0.0545,0,0.104,0.295,150867,30.96243,1
"Take Me Home, Country Roads (Metal Version)",Leo,spotify:track:05o3m7EJ80nGrSoQHg0zbA,0.599,0.885,-4.883,,0.00479,0.00145,0.112,0.42,246055,27.93371,0
Mirror,Lil Wayne Featuring Bruno Mars,spotify:track:05pdoheuKPSotkjMgIVX6I,0.331,0.622,-7.291,,0.858,0,0.104,0.388,228093,27.74623,1
Grey Sublime Archon,Eluveitie,spotify:track:05pSk5r292sDlEkA9Y3l6g,0.458,0.993,-3.15,0.0914,0.000122,0.000274,0.397,0.0596,261373,86.69047,0
Break My Bank,New Boyz Featuring Iyaz,spotify:track:05Q8DT8pyXJrxI6kCLzjdh,0.742,0.762,-4.043,0.0575,0.0202,0,0.0921,0.367,177253,32.87145,1
Metal Is Forever,Primal Fear,spotify:track:05RbBrXDn7zBbOy6XugjU2,0.346,0.986,-3.974,0.252,2.42E-05,0.0906,,0.0655,286227,33.76622,0
Tearin' It Up,Gramatik,spotify:track:05rbTsgovBYa0JIund4MrS,0.843,0.889,-4.385,,0.0965,0.115,0.0389,0.556,256438,69.69301,0
Only Prettier,Miranda Lambert,spotify:track:05Rdg52eBYVUy5A55rnz39,0.389,0.695,-2.4,0.0348,0.0818,0,0.0698,0.778,189440,36.30619,1
I Need Your Love,Calvin Harris Featuring Ellie Goulding,spotify:track:05SBRd4fXgn8FX7bf8BCAE,0.695,0.869,-5.066,0.0483,0.41,0,,0.58,234507,23.6944,1
Ezio's Family,Jesper Kyd,spotify:track:05UMQXFCsa9oPnLgfJHVyF,0.375,0.344,-12.561,0.0335,0.81,0.776,0.0682,0.106,237900,27.22848,0
Un-gravitify,Crush 40,spotify:track:05Up7aocKKNGFZs3okE7pe,0.407,0.913,-6.596,0.0646,5.74E-05,0.0255,,0.352,284813,20.47018,0
Who I'd Be,Daniel Breaker,spotify:track:05vReyxhvuE564kb2Jnmux,0.36,0.642,-7.216,0.0952,0.672,0,,0.399,240400,30.64448,0
How To Deal,Frankie J,spotify:track:05wbsMDvcaD56O4SnESOaJ,0.749,0.495,-8.456,0.0332,0.0584,0,0.201,0.645,230507,31.60271,1
Stoner Punk,Warcollapse,spotify:track:05wiR6qBsJcUBXfbasZint,0.242,0.994,-3.68,0.113,0.0236,0.722,,0.0401,138960,39.15317,0
No Regrets,Hella,spotify:track:05XyWJJz3TsKidix2grzcI,0.447,0.943,-3.009,,0.1,4.11E-05,,0.532,218044,83.60416,0
Party,Chris Brown Featuring Usher & Gucci Mane,spotify:track:05Z7jet4VDNVgNQWcYHnrk,0.762,0.576,-4.951,,0.0556,0,0.0869,0.316,220813,50.90762,1
Springsteen,Eric Church,spotify:track:05ZACkzW8YbRq3eFgIfSNB,0.692,0.809,-5.935,,0.1,9.77E-05,0.185,0.927,263387,51.59421,1
Smile is the Key,Panda Dub,spotify:track:05ZkEq06mPBTRXKqSGHa6E,0.843,0.448,-8.303,,0.0749,0.703,,0.25,262129,28.30296,0
Trust,Keyshia Cole Duet With Monica,spotify:track:066H3CmDCFuQU1fwsecCDc,,0.613,-4.697,,0.231,0,,0.567,253320,26.71575,1
Rhythm Divine,Enrique Iglesias,spotify:track:067sYyLu6IdRP5bCubdSfl,0.622,0.97,-2.722,0.156,0.13,0,0.188,0.429,209467,21.45298,1
Animus,Novembers Doom,spotify:track:06AmdDU8R15427flmJACCj,0.486,0.981,-4.592,0.0579,0.000131,0.281,0.109,0.277,398600,68.51129,0
Golden Touch - Full Length,Razorlight,spotify:track:06aMDKw1zNra92edkj2QrY,0.602,0.533,-3.784,0.0243,0.0519,5.80E-05,,0.689,205307,26.01754,0
Dancin' Away With My Heart,Lady Antebellum,spotify:track:06EoiPK0mH3PHxH2BKNAJx,0.572,0.663,-5.418,0.0274,0.221,0,0.291,0.455,232973,22.09292,1
Lust.,Kendrick Lamar,spotify:track:06FCvd7rrRcF3DdvWH5Isp,0.678,0.562,-9.197,,0.193,0,0.104,0.566,307880,77.46828,1
Right Here (Departed),Brandy,spotify:track:06G1SCVVYRSDCFGMSnDvpv,0.568,0.682,-5.781,0.0439,0.256,0,,0.366,217947,20.88738,1
Broken Halos,Chris Stapleton,spotify:track:06gD2ZtK3Dzc1BYqWExQJJ,0.613,0.564,-7.085,0.0251,0.134,1.65E-06,,0.538,180907,86.43585,1
Deep Inside Of You,Third Eye Blind,spotify:track:06iQLLK93Dlv7RcvzmZo2g,0.502,0.591,-4.522,,0.00585,1.90E-05,0.0725,0.169,250533,25.18826,1
Eden Is Burning,Revolution Renaissance,spotify:track:06JqVLeXQD8OD7QwcCiKmR,0.557,0.863,-5.953,0.0428,0.00975,1.87E-05,0.137,0.453,316040,59.75732,0
Critter,Angerfist,spotify:track:06km1i0kuZtgOwkvrdSXlk,0.406,0.996,-1.115,,0.0025,0.308,0.0919,0.285,183529,25.77791,0
Afraid To Sleep,Vicci Martinez,spotify:track:06Km3ZJ7x5Bbw6BzwvKNgq,0.608,0.833,-4.101,,0.0445,0,0.206,0.431,200773,23.67413,1
Face Deletion,The Interbeing,spotify:track:06NBd9KEz4Q4LcMnTSylz1,0.49,0.937,-2.823,,3.49E-05,0.000258,,0.364,297640,33.35452,0
Dark Pop,Cabaret Nocturne,spotify:track:06OTyGR5DexjsWbgVGqc3p,0.755,0.772,-11.911,,0.118,0.889,,0.0735,369000,34.45402,0
Gotta Be Somebody,Nickelback,spotify:track:06T10fEzN8ZCcqzQZYA184,0.536,0.89,-5.222,,0.000354,0.00165,,0.205,252653,39.18066,1
Drop The Game,Flume,spotify:track:06WnUZymWyJamDivTWqJZA,0.559,0.67,-4.985,0.0474,0.592,0.000184,0.171,0.438,221895,27.40477,0
Wizard Fight,Weedeater,spotify:track:06xc9MfcfQkJHKIWkJnSuj,0.208,0.945,-7.427,0.1,0.00178,0.615,0.125,0.144,138640,76.91372,0
Prima Donna,Tipling Rock,spotify:track:06Ykon1t8t9qZDsEAwEMWq,0.699,0.5,-9.944,,0.322,0,0.102,0.773,154400,64.77077,0
You're My Better Half,Keith Urban,spotify:track:06ySRvEnrUxZZ9ml3VO2TY,0.655,0.747,-4.41,,0.0369,1.29E-06,,0.613,239400,23.15763,1
Walked Outta Heaven,Jagged Edge,spotify:track:06ZDLodo1UDVavc3MXREZ3,0.67,0.616,-6.123,,0.573,0,0.0535,0.523,270880,33.72914,1
